SurveyID,DetectionRecID,Year,SurvDate,Round,Time,PointID,Species,BearOrig,DistOrig,Bearing,Distance,DistanceAid,MIN1,MIN2,MIN3,MIN4,MIN5,MIN6,MIN7,MIN8,MIN9,MIN10,MIN11,OutTimeOrig,OutTargetOrig,PreviousOrig,OutsideTime,OutTimeONLY,OutTarget,Previous,SurvCount,Notes,DataCheck,DataNotes
1,3001,2015,5/20/2015,1,PM,EPC1,SORA,141,500,141,500,0,0,0,0,0,0,NA,0,0,0,0,0,wh,N,N,Y,Y,N,N,1,"before survey time, Detected as walking to point, wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/17
1,3002,2015,5/20/2015,1,PM,EPC1,AMBI,NA,NA,NA,NA,0,0,v,0,0,0,NA,0,0,0,0,0,N,N,N,N,N,N,N,1,"Flying overhead, wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/18
1,3003,2015,5/20/2015,1,PM,EPC1,AMBI,NA,NA,NA,NA,0,0,v,0,0,0,NA,0,0,0,0,0,N,N,N,N,N,N,N,1,"Flying overhead, wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/19
1,3004,2015,5/20/2015,1,PM,EPC1,AMBI,134,200,134,200,0,0,0,pl,pl,pl,NA,0,0,0,0,pl,N,N,N,N,N,N,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/20
1,3005,2015,5/20/2015,1,PM,EPC1,SORA,27,100,27,100,0,0,0,kee,0,0,NA,0,wh,0,0,0,wh,N,N,Y,N,N,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/21
1,3006,2015,5/20/2015,1,PM,EPC1,SORA,351,110,351,110,0,0,0,wh,0,0,NA,0,0,0,0,0,N,N,N,N,N,N,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/22
1,3007,2015,5/20/2015,1,PM,EPC1,WISN,265,200,265,200,0,0,0,0,tk,0,NA,0,0,0,0,0,N,N,N,N,N,N,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/23
1,3008,2015,5/20/2015,1,PM,EPC1,WISN,121,far,121,400,0,0,0,w,0,w,NA,0,0,w,0,0,N,N,N,N,N,N,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/24
1,3009,2015,5/20/2015,1,PM,EPC1,WISN,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,v,0,0,0,N,N,N,N,N,N,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/25
2,3010,2015,5/20/2015,1,PM,EPC2,SORA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,pw,N,N,Y,Y,N,N,1,"before survey time; Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI, heard as walking in",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/26
2,3011,2015,5/20/2015,1,PM,EPC2,SORA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,wh,N,N,Y,Y,N,N,1,"before survey time, after survey time; Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/27
2,3012,2015,5/20/2015,1,PM,EPC2,WISN,3,400,3,400,0,0,0,0,0,w,NA,0,w,w,w,0,N,N,N,N,N,N,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/28
2,3013,2015,5/20/2015,1,PM,EPC2,SORA,151,120,151,120,0,0,0,0,0,0,NA,0,0,wh,0,0,N,N,N,N,N,N,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/29
2,3014,2015,5/20/2015,1,PM,EPC2,AMBI,12,300,12,300,0,0,0,0,0,0,NA,0,pl,0,0,pl,N,N,N,N,N,N,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/30
3,3015,2015,5/20/2015,1,PM,EPS4,LEBI,183,10,183,10,0,coo,0,coo,coo,coo,NA,coo,coo,coo,coo,coo,coo,N,N,Y,N,N,N,1,"before survey time; Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/31
3,3016,2015,5/20/2015,1,PM,EPS4,SORA,230,200,230,200,0,0,0,0,0,0,NA,0,0,0,0,wh,N,N,N,N,N,N,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/32
3,3017,2015,5/20/2015,1,PM,EPS4,SORA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,wh,N,N,Y,Y,N,N,1,"detected btn points, before survey time; Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI, heard calling between points",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/33
4,3018,2015,5/20/2015,1,PM,EPS5,VIRA,309,110,309,110,0,0,0,0,0,0,NA,0,0,0,0,0,G,N,N,Y,Y,N,N,1,"before survey time; Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/34
4,3019,2015,5/20/2015,1,PM,EPS5,WISN,57,300,57,300,0,w,w,0,w,w,NA,w,0,w,0,w,N,N,N,N,N,N,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/35
4,3020,2015,5/20/2015,1,PM,EPS5,SORA,349,80,349,80,0,0,0,wh,0,0,NA,0,0,0,0,0,N,Y,N,N,N,Y,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/36
4,3021,2015,5/20/2015,1,PM,EPS5,LEBI,252,35,252,35,0,0,0,coo,coo,coo,NA,0,0,0,0,0,N,N,N,N,N,N,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/37
4,3022,2015,5/20/2015,1,PM,EPS5,SORA,14,60,14,60,0,0,0,0,0,0,NA,0,0,0,wh,0,N,N,N,N,N,N,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/38
5,3023,2015,5/20/2015,1,PM,EPC6,AMBI,115,60,115,60,0,pl,0,pl,pl,0,NA,pl,pl,0,pl,pl,pl,N,N,Y,N,N,N,1,"before survey time; Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/39
5,3024,2015,5/20/2015,1,PM,EPC6,WISN,NA,NA,NA,NA,0,w,w,w,w,0,NA,0,0,0,0,0,N,N,Y,N,N,N,Y,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/40
5,3025,2015,5/20/2015,1,PM,EPC6,WISN,NA,NA,NA,NA,0,w,w,w,w,0,NA,0,0,0,0,0,N,N,Y,N,N,N,Y,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/41
5,3026,2015,5/20/2015,1,PM,EPC6,SORA,205,50,205,50,0,0,0,0,pw,0,NA,pw,0,0,0,0,N,N,N,N,N,N,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/42
5,3027,2015,5/20/2015,1,PM,EPC6,SORA,303,70,303,70,0,0,0,0,0,wh,NA,0,0,0,0,0,N,Y,N,N,N,Y,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/43
5,3028,2015,5/20/2015,1,PM,EPC6,SORA,137,25,137,25,0,0,0,0,0,0,NA,wh,0,0,0,0,N,N,N,N,N,N,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/44
5,3029,2015,5/20/2015,1,PM,EPC6,SORA,235,70,235,70,0,0,0,0,0,0,NA,pw,0,pw,0,0,N,N,N,N,N,N,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/45
5,3030,2015,5/20/2015,1,PM,EPC6,SORA,350,60,350,60,0,0,0,0,0,0,NA,0,0,0,0,wh,N,Y,N,N,N,Y,N,1,"Wrong recording used - LEBI, YEAR, SORA, VIRA, AMBI",,I reformatted Min6-11 to match broadcast min of other surveys. 5/22/46
6,3031,2015,5/21/2015,1,PM,EVS1,SORA,65,130,65,130,0,pw,0,0,0,0,0,0,0,0,0,0,wh,N,N,Y,N,N,N,1,after survey time,,
6,3032,2015,5/21/2015,1,PM,EVS1,SORA,81,150,81,150,0,0,0,0,0,0,0,wh,pw,0,0,0,N,N,N,N,N,N,N,1,none,,
6,3033,2015,5/21/2015,1,PM,EVS1,SORA,355,300,355,300,0,0,0,0,0,0,0,0,0,0,0,wh,N,N,N,N,N,N,N,1,Far,,
7,3034,2015,5/21/2015,1,PM,EVS2,NO BIRDS DETECTED,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,Y,NA,NA,1,none,,
8,3035,2015,5/21/2015,1,PM,EVS3,SORA,312,50,312,50,0,0,0,0,0,0,0,0,0,wh,0,0,N,Y,N,N,N,Y,N,1,to the north,,
9,3036,2015,5/21/2015,1,PM,EVS4,SORA,5,30,5,30,0,0,0,0,0,0,0,wh,0,0,0,0,N,Y,N,N,N,Y,N,1,to the north,,
9,3037,2015,5/21/2015,1,PM,EVS4,SORA,12,20,12,20,0,0,0,0,0,0,0,wh,0,0,0,0,N,Y,N,N,N,Y,N,1,to the north,,
10,3038,2015,5/21/2015,1,PM,EVC5,SORA,59,60,59,60,0,0,0,0,0,0,0,wh,0,0,wh,0,N,Y,N,N,N,Y,N,1,to the north,,
10,3039,2015,5/21/2015,1,PM,EVC5,SORA,9,30,9,30,0,0,0,0,0,0,0,wh,0,0,0,0,N,Y,N,N,N,Y,N,1,to the north,,
10,3040,2015,5/21/2015,1,PM,EVC5,SORA,327,70,327,70,0,0,0,0,0,0,0,0,wh,0,0,0,N,Y,N,N,N,Y,N,1,to the north,,
10,3041,2015,5/21/2015,1,PM,EVC5,PBGR,273,75,273,75,0,0,0,0,0,0,0,0,0,0,hy,0,N,N,N,N,N,N,N,1,none,,
10,3042,2015,5/21/2015,1,PM,EVC5,AMBI,41,120,41,120,0,0,0,0,0,0,0,0,0,0,pl,0,N,Y,N,N,N,Y,N,1,very faint; to the north,,
11,3043,2015,5/21/2015,1,PM,EVC6,SORA,355,20,355,20,0,pw,0,0,kee,kee,0,0,0,0,0,0,wh,Y,N,Y,N,Y,N,1,before survey time; at wetland A,,
11,3044,2015,5/21/2015,1,PM,EVC6,SORA,329,180,329,180,0,0,wh,wh,0,0,0,0,0,0,0,0,N,Y,N,N,N,Y,N,1,none,,
11,3045,2015,5/21/2015,1,PM,EVC6,SORA,231,100,231,100,0,0,0,wh,0,0,0,0,0,0,0,pw,N,N,N,N,N,N,N,1,none,,
11,3046,2015,5/21/2015,1,PM,EVC6,AMBI,327,160,327,160,0,0,0,0,pl,0,0,0,0,pl,pl,0,N,Y,N,N,N,Y,N,1,none,,
11,3047,2015,5/21/2015,1,PM,EVC6,SORA,35,30,35,30,0,0,0,0,0,0,0,wh,0,0,0,0,N,Y,N,N,N,Y,N,1,"Called from marsh A, but definitely two calls again during minute 7, probably 3 birds - Discrepancy whether from marsh A or B",,
11,3048,2015,5/21/2015,1,PM,EVC6,SORA,35,30,35,30,0,0,0,0,0,0,0,wh,0,0,0,0,N,Y,N,N,N,Y,N,1,"Called from marsh A, but definitely two calls again during minute 7, probably 3 birds - Discrepancy whether from marsh A or B",,
11,3049,2015,5/21/2015,1,PM,EVC6,SORA,35,30,35,30,0,0,0,0,0,0,0,wh,0,0,0,0,N,Y,N,N,N,Y,N,1,"Called from marsh A, but definitely two calls again during minute 7, probably 3 birds - Discrepancy whether from marsh A or B",,
11,3050,2015,5/21/2015,1,PM,EVC6,SORA,35,30,35,30,0,0,0,0,0,0,0,wh,0,0,0,0,N,Y,N,N,N,Y,N,1,at wetland B,,
11,3051,2015,5/21/2015,1,PM,EVC6,PBGR,257,NA,257,NA,0,0,0,0,0,0,0,ow,0,0,0,0,N,?,N,N,N,N,N,1,"Can't tell if this is to N or S, guessing to N where there is open water",,
11,3052,2015,5/21/2015,1,PM,EVC6,WISN,NA,NA,NA,NA,0,0,0,0,w,0,0,0,0,0,0,w,N,N,N,N,N,N,N,1,none,,
12,3053,2015,5/21/2015,1,PM,ELC1,NO BIRDS DETECTED,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,Y,NA,NA,1,n/a,,
13,3054,2015,5/21/2015,1,PM,ELC2,NO BIRDS DETECTED,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,Y,NA,NA,1,n/a,,
14,3055,2015,5/21/2015,1,PM,ELS3,WISN,248,200,248,200,1,w,w,0,w,w,w,w,0,0,0,0,N,Y,N,N,N,Y,N,1,none,,
15,3056,2015,5/21/2015,1,PM,ELS4,WISN,302,500,302,500,0,w,w,0,0,0,0,0,0,w,0,0,N,Y,N? (confirm by GIS),N,N,Y,N,1,none,,
15,3057,2015,5/21/2015,1,PM,ELS4,SORA,323,160,323,160,1,0,0,wh,pw,pw,wh,0,0,0,0,0,N,N,N,N,N,N,N,1,none,,
15,3058,2015,5/21/2015,1,PM,ELS4,SORA,65,120,65,120,1,0,0,0,0,0,0,0,wh,0,0,0,N,N,N,N,N,N,N,1,none,,
16,3059,2015,5/21/2015,1,PM,ELS5,SORA,294,160,294,160,1,0,wh,0,0,0,0,0,0,0,wh,0,N,N,N,N,N,N,N,1,none,,
16,3060,2015,5/21/2015,1,PM,ELS5,AMBI,38,70,38,70,1,0,0,0,pl,pl,pl,0,0,pl,pl,pl,N,N,N,N,N,N,N,1,none,,
16,3061,2015,5/21/2015,1,PM,ELS5,AMBI,0,70,0,70,1,0,0,0,0,pl,0,pl,pl,0,0,0,N,N,N,N,N,N,N,1,none,,
16,3062,2015,5/21/2015,1,PM,ELS5,SORA,48,65,48,65,1,0,0,0,0,0,0,wh,0,0,0,pw,N,N,N,N,N,N,N,1,none,,
