SurveyID,Year,Date,Round,Time1,Obs1,Obs2,RouteName,SunTime,SiteName,PointOrder,PointID,Treatment,WindSpeed,WindDir,Temp,SkyCode,NoiseLevel,NoiseCode,NoiseNotes,StartTime,SpeciesTargetWetland,SpeciesinArea,Notes,ImageID,DataCheckDate,DataEntryNotes
1,2015,5/20/2015,1,PM,NH,SS,East Park,21:01,East Park,1,EPC1,Control,2.4,NA,NA,1,42,1,frogs,18:32," RWBL, YHBL, COYE",none,DEA on survey; SS used wrong recording? Two AMBI flew overhead exiting target wetland,No ID,11/21/2015,NONE
2,2015,5/20/2015,1,PM,NH,SS,East Park,21:01,East Park,2,EPC2,Control,5.4,NA,70.2,0,44,0,NA,19:18,"RWBL, YHBL, COLO, AMRE, WIWA, Sparrow (white belly, pink bill, brown cheek, white eyestripe)",MODO,DEA on survey,No ID,11/21/2015,NONE
3,2015,5/20/2015,1,PM,NH,SS,East Park,21:01,East Park,3,EPS4,Spray,3.4,NA,68.4,0,37,0,RWBL,19:55,"HOME, RNDU, 2 COLO, NSHO, YEWA, RWBL, YHBL, COYE",RUGR?,DEA on survey,No ID,11/21/2015,NONE
4,2015,5/20/2015,1,PM,NH,SS,East Park,21:01,East Park,4,EPS5,Spray,6.5,NA,66.5,0,37,1,frogs behind to North,20:14,"TRES, YEWA, RNDU, BUFF, RWBL, YHBL","CAGO, BARS",DEA on survey,No ID,11/21/2015,NONE
5,2015,5/20/2015,1,PM,NH,SS,East Park,21:01,East Park,5,EPC6,Control,3.7,NA,64.4,0,NA,1,frogs to North,20:33,"NOFL, COYE, AMRO, RWBL, YHBL, TRES, BARS",MODO,DEA on survey,No ID,11/21/2015,NONE
6,2015,5/21/2015,1,PM,NH,0,Eckvoll,21:05,Eckvoll,1,EVS1,Spray,5.2,NW,65.1,1,35,0,NA,19:23,"AMRO, BWTE, RWBL, BARS?, COYE, TRES, MALL",MODO,"none, site very quiet, points not great - on the other side of channel about 20m from edge with willows in between",No ID,11/21/2015,NONE
7,2015,5/21/2015,1,PM,NH,0,Eckvoll,21:05,Eckvoll,2,EVS2,Spray,5,NW,65.2,1,33,0,NA,19:42,"YEWA, MALL, BWTE","CAGE, AMRO",points not great - on the other side of channel about 20m from edge with willows in between,No ID,11/21/2015,NONE
8,2015,5/21/2015,1,PM,NH,0,Eckvoll,21:05,Eckvoll,3,EVS3,Spray,4.2,NW,64.2,0,50,2,frogs to NW!,20:04,"RWBL, GRYE, BARS, YPWA",none,points not great - on the other side of channel about 20m from edge with willows in between,No ID,11/21/2015,NONE
9,2015,5/21/2015,1,PM,NH,0,Eckvoll,21:05,Eckvoll,4,EVS4,Spray,2.4,W,64.2,0,41,1,frogs,20:21,"YEWA, RWBL, BUFF, BAEA, YPWA",NOFL,"Drumming to N during whole survey, whole site very quiet, points not great - on the other side of channel about 20m from edge with willows in between",No ID,11/21/2015,NONE
10,2015,5/21/2015,1,PM,NH,0,Eckvoll,21:05,Eckvoll,5,EVC5,Control,3,NA,60.2,NA,NA,1,stupid CAGO,20:38,"TRES, RWBL, MAWR","CAGO, BUFF, TRES, RNDU, GADW","CAGO loud, points not great - on the other side of channel about 20m from edge with willows in between",No ID,11/21/2015,NONE
11,2015,5/21/2015,1,PM,NH,0,Eckvoll,21:05,Eckvoll,6,EVC6,Control,NA,NW,NA,0,35,1,frogs,20:57,"RWBL, YEWA, COYE",none,none,No ID,11/21/2015,NONE
12,2015,5/21/2015,1,PM,SS,0,Elm Lake,NA,Elm Lake,1,ELC1,Control,7.4,NW,65.2,0,70,1,wind,18:49,"BWTE, TRES, SOSP, NOHA","MODO, CAGO",Frogs; maybe point too far from marsh?,Image 3978,11/22/2015,NONE
